phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
všeho všudy,"{'vseho': 15.651957511901855, 'vsudy': 21.463478088378906}",mám všeho všudy šestatřicet krejcarů.,"{'mam': 5.635946273803711, 'vseho': 19.14572811126709, 'vsudy': 18.43110179901123, 'sestatricet': 35.06630992889404, 'krejcaru.': 28.6206636428833}",всего-навсего,{'всего-навсего': 8.020191192626953},у меня всего-навсего тридцать шесть крейцеров.,"{'у': 0.0, 'меня': 5.621569633483887, 'всего-навсего': 11.434773445129395, 'тридцать': 6.693218231201172, 'шесть': 2.834259033203125, 'крейцеров.': 19.022743225097656}",всего всюду,"{'всего': 0.0, 'всюду': 11.05508804321289}",у меня всего всюду тридцать шесть крейцеров.,"{'у': 0.0, 'меня': 5.621569633483887, 'всего': 6.617550849914551, 'всюду': 14.643759727478027, 'тридцать': 7.327021598815918, 'шесть': 2.792904853820801, 'крейцеров.': 18.98899269104004}"
navzdory tomu,"{'navzdory': 26.161921501159668, 'tomu': 17.977334022521973}",navzdory tomu o ně mají zákazníci nebývalý zájem.,"{'navzdory': 26.161921501159668, 'tomu': 17.97733783721924, 'o': 5.13706111907959, 'ne': 9.131688117980957, 'maji': 12.942721366882324, 'zakaznici': 19.09391498565674, 'nebyvaly': 22.422892570495605, 'zajem.': 17.78758716583252}",несмотря на,"{'несмотря': 9.555662155151367, 'на': 0.07728004455566406}","несмотря на это, она столкнулась с ажиотажным спросом на свою продукцию.","{'несмотря': 9.555662155151367, 'на': 0.7875156402587891, 'это,': 3.6617841720581055, 'она': 3.7696609497070312, 'столкнулась': 10.057692527770996, 'с': 0.23888206481933594, 'ажиотажным': 12.52714729309082, 'спросом': 0.15453720092773438, 'свою': 4.889639854431152, 'продукцию.': 1.512105941772461}",вздор тому,"{'вздор': 7.72197151184082, 'тому': 9.774502754211426}","вздор тому это, она столкнулась с ажиотажным спросом на свою продукцию.","{'вздор': 7.721972465515137, 'тому': 9.774502754211426, 'это,': 11.872512817382812, 'она': 6.805469512939453, 'столкнулась': 11.348037719726562, 'с': 0.3033332824707031, 'ажиотажным': 13.756912231445312, 'спросом': 0.2092456817626953, 'на': 0.7717885971069336, 'свою': 5.458367347717285, 'продукцию.': 1.9842166900634766}"
na konec,"{'na': 0.0, 'konec': 16.46510410308838}",vagony metroplus jsou vždy zařazeny na konec vlaku směrem ke kapskému městu.,"{'vagony': 16.573464393615723, 'metroplus': 22.63297748565674, 'jsou': 18.06629753112793, 'vzdy': 21.028291702270508, 'zarazeny': 22.196426391601562, 'na': 5.64213752746582, 'konec': 8.508979797363281, 'vlaku': 16.043827056884766, 'smerem': 16.757768630981445, 'ke': 9.857919692993164, 'kapskemu': 26.23040008544922, 'mestu.': 14.660270690917969}",в конце,"{'в': 0.0, 'конце': 7.395144462585449}","вагоны первого вида всегда находятся в конце поезда, ближайшем к кейптауну.","{'вагоны': 6.691053867340088, 'первого': 7.593753337860107, 'вида': 8.439860343933105, 'всегда': 7.2446441650390625, 'находятся': 5.1905670166015625, 'в': 0.5527172088623047, 'конце': 5.881461143493652, 'поезда,': 4.890079498291016, 'ближайшем': 14.13186264038086, 'к': 0.25782203674316406, 'кейптауну.': 25.470276832580566}",на конец,"{'на': 0.0, 'конец': 9.941631317138672}","вагоны первого вида всегда находятся на конец поезда, ближайшем к кейптауну.","{'вагоны': 6.691053867340088, 'первого': 7.593753337860107, 'вида': 8.439860343933105, 'всегда': 7.2446441650390625, 'находятся': 5.1905670166015625, 'на': 1.7337379455566406, 'конец': 10.950798034667969, 'поезда,': 4.976051330566406, 'ближайшем': 14.8720121383667, 'к': 0.28110694885253906, 'кейптауну.': 25.145697593688965}"
v blízkosti,"{'v': 0.0, 'blizkosti': 26.957094192504883}",útulný apartmán v blízkosti mumlavských vodopádů.,"{'utulny': 14.090645790100098, 'apartman': 20.473543167114258, 'v': 5.752979278564453, 'blizkosti': 22.04330348968506, 'mumlavskych': 35.54717826843262, 'vodopadu.': 21.56633472442627}",рядом с,"{'рядом': 4.202017784118652, 'с': 0.9933109283447266}",уютная квартира рядом с водопада мумлав.,"{'уютная': 9.04796314239502, 'квартира': 7.241662979125977, 'рядом': 7.129589557647705, 'с': 0.20613670349121094, 'водопада': 16.779752731323242, 'мумлав.': 31.9022274017334}",в близости,"{'в': 0.0, 'близости': 10.121551513671875}",уютная квартира в близости водопада мумлав.,"{'уютная': 9.04796314239502, 'квартира': 7.241662979125977, 'в': 1.9536447525024414, 'близости': 10.40743350982666, 'водопада': 11.848487854003906, 'мумлав.': 33.94241523742676}"
až po,"{'az': 0.0, 'po': 12.183774948120117}",já jsem byla opět v jiném stavu a skoro celé těhotenství až po porod nejmladší dcerky jsem prožila ve strachu.,"{'ja': 0.0, 'jsem': 6.409234046936035, 'byla': 10.584392547607422, 'opet': 12.410689353942871, 'v': 6.037367820739746, 'jinem': 15.63275146484375, 'stavu': 13.868062973022461, 'a': 5.090909004211426, 'skoro': 11.716748237609863, 'cele': 9.15367317199707, 'tehotenstvi': 35.30910873413086, 'az': 8.81374454498291, 'po': 7.3511247634887695, 'porod': 13.32264518737793, 'nejmladsi': 32.61680603027344, 'dcerky': 22.16033172607422, 'prozila': 15.244635581970215, 've': 7.864998817443848, 'strachu.': 18.444249153137207}",вплоть до,"{'вплоть': 8.136696815490723, 'до': 0.029829025268554688}",я опять забеременела и всю беременность вплоть до рождения младшей дочери прожила в страхе.,"{'я': 0.0, 'опять': 8.943367004394531, 'забеременела': 8.595075607299805, 'и': 2.648958206176758, 'всю': 7.754290580749512, 'беременность': 0.8624534606933594, 'вплоть': 9.251874923706055, 'до': 0.03845787048339844, 'рождения': 2.011148452758789, 'младшей': 8.146112442016602, 'дочери': 0.7043552398681641, 'прожила': 4.537728309631348, 'в': 1.3041439056396484, 'страхе.': 5.329707145690918}",аж по,"{'аж': 6.510209083557129, 'по': 5.066317558288574}",я опять забеременела и всю беременность аж по рождения младшей дочери прожила в страхе.,"{'я': 0.0, 'опять': 8.943367004394531, 'забеременела': 8.595075607299805, 'и': 2.648958206176758, 'всю': 7.754290580749512, 'беременность': 0.8624534606933594, 'аж': 10.821152687072754, 'по': 4.55094051361084, 'рождения': 14.298288345336914, 'младшей': 11.026632308959961, 'дочери': 1.5103464126586914, 'прожила': 6.385199546813965, 'в': 1.767293930053711, 'страхе.': 5.485501289367676}"
ve formě,"{'ve': 0.0, 'forme': 15.642862319946289}","má právo zničit všechny překážky ve formě institucí a tradic, jež omezují lidskou svobodu výběru.","{'ma': 0.0, 'pravo': 17.413613319396973, 'znicit': 21.354615211486816, 'vsechny': 24.546195030212402, 'prekazky': 22.233980178833008, 've': 8.176684379577637, 'forme': 14.257635116577148, 'instituci': 13.526384353637695, 'a': 5.796828269958496, 'tradic,': 15.868674278259277, 'jez': 9.818283081054688, 'omezuji': 32.17321300506592, 'lidskou': 20.406941413879395, 'svobodu': 11.579691886901855, 'vyberu.': 20.545903205871582}",в виде,"{'в': 0.0, 'виде': 8.552051544189453}","у него есть право смести все преграды в виде институтов и традиций, которые ограничивают свободу выбора людей.","{'у': 0.0, 'него': 7.207874774932861, 'есть': 3.28951358795166, 'право': 5.460476875305176, 'смести': 12.24586296081543, 'все': 1.9164094924926758, 'преграды': 4.7459869384765625, 'в': 4.048851013183594, 'виде': 3.0721511840820312, 'институтов': 7.924274921417236, 'и': 1.632833480834961, 'традиций,': 5.610043525695801, 'которые': 2.091226577758789, 'ограничивают': 5.73649787902832, 'свободу': 2.097137451171875, 'выбора': 3.701597213745117, 'людей.': 5.527392387390137}",в форме,"{'в': 0.0, 'форме': 8.504361152648926}","у него есть право смести все преграды в форме институтов и традиций, которые ограничивают свободу выбора людей.","{'у': 0.0, 'него': 7.207874774932861, 'есть': 3.28951358795166, 'право': 5.460476875305176, 'смести': 12.24586296081543, 'все': 1.9164094924926758, 'преграды': 4.7459869384765625, 'в': 4.048851013183594, 'форме': 7.400287628173828, 'институтов': 8.01205825805664, 'и': 1.5392723083496094, 'традиций,': 5.798707008361816, 'которые': 1.97698974609375, 'ограничивают': 5.516840934753418, 'свободу': 2.1840925216674805, 'выбора': 3.982830047607422, 'людей.': 5.383642196655273}"
za účelem,"{'za': 0.0, 'ucelem': 24.35855007171631}",to vše za účelem násilného uchopení moci.,"{'to': 0.0, 'vse': 11.858595848083496, 'za': 6.202326774597168, 'ucelem': 21.00640296936035, 'nasilneho': 23.45418071746826, 'uchopeni': 20.870442390441895, 'moci.': 18.79912757873535}",с целью,"{'с': 0.0, 'целью': 9.312464714050293}",и все — с целью насильственного захвата власти.,"{'и': 0.0, 'все': 6.378076553344727, '—': 7.339448928833008, 'с': 4.4475860595703125, 'целью': 6.392945289611816, 'насильственного': 9.525947570800781, 'захвата': 1.6220741271972656, 'власти.': 1.5784988403320312}",за целью,"{'за': 0.0, 'целью': 9.636045455932617}",и все — за целью насильственного захвата власти.,"{'и': 0.0, 'все': 6.378076553344727, '—': 7.339448928833008, 'за': 4.709935188293457, 'целью': 12.002235412597656, 'насильственного': 10.879888534545898, 'захвата': 1.3781299591064453, 'власти.': 1.6123132705688477}"
na účet,"{'na': 0.0, 'ucet': 19.705068588256836}","najednou v jeho nebohé hlavě cvakla nějaká záklopka, načež se jal vyzývavě vtipkovat na účet tělesných a duševních vlastností dívky.","{'najednou': 27.832207679748535, 'v': 6.328731536865234, 'jeho': 11.688899993896484, 'nebohe': 17.79288959503174, 'hlave': 16.11760425567627, 'cvakla': 22.92936611175537, 'nejaka': 17.549724578857422, 'zaklopka,': 23.141794204711914, 'nacez': 18.05514907836914, 'se': 7.697144508361816, 'jal': 10.208401679992676, 'vyzyvave': 26.627713203430176, 'vtipkovat': 33.95840930938721, 'na': 6.364532470703125, 'ucet': 15.11038589477539, 'telesnych': 18.321516036987305, 'a': 4.943609237670898, 'dusevnich': 25.503378868103027, 'vlastnosti': 15.449609756469727, 'divky.': 18.581904411315918}",по поводу,"{'по': 0.0, 'поводу': 5.829870223999023}","вдруг в его бедовой голове щелкнул какой-то клапан, и он начал вызывающе острить по поводу физических и душевных качеств своей гостьи.","{'вдруг': 9.886743545532227, 'в': 3.6192636489868164, 'его': 4.257525444030762, 'бедовой': 11.255657196044922, 'голове': 0.45759010314941406, 'щелкнул': 6.230813026428223, 'какой-то': 1.7466888427734375, 'клапан,': 6.785943984985352, 'и': 2.851869583129883, 'он': 1.1151304244995117, 'начал': 4.214503288269043, 'вызывающе': 11.493698120117188, 'острить': 8.576299667358398, 'по': 3.2068614959716797, 'поводу': 0.6695594787597656, 'физических': 10.60958194732666, 'душевных': 2.893221855163574, 'качеств': 1.4673194885253906, 'своей': 4.171204566955566, 'гостьи.': 6.530234336853027}",на учет,"{'на': 0.0, 'учет': 9.851239204406738}","вдруг в его бедовой голове щелкнул какой-то клапан, и он начал вызывающе острить на учет физических и душевных качеств своей гостьи.","{'вдруг': 9.886743545532227, 'в': 3.6192636489868164, 'его': 4.257525444030762, 'бедовой': 11.255657196044922, 'голове': 0.45759010314941406, 'щелкнул': 6.230813026428223, 'какой-то': 1.7466888427734375, 'клапан,': 6.785943984985352, 'и': 3.1802988052368164, 'он': 1.1151304244995117, 'начал': 4.214503288269043, 'вызывающе': 11.493698120117188, 'острить': 8.576299667358398, 'на': 4.286872863769531, 'учет': 14.428812980651855, 'физических': 14.025571823120117, 'душевных': 3.766878128051758, 'качеств': 1.7499008178710938, 'своей': 5.194100379943848, 'гостьи.': 7.157033920288086}"
v platnost,"{'v': 0.0, 'platnost': 27.605369567871094}","podepsala se roku 1992, ale v platnost vešla v roce 2002.","{'podepsala': 22.363780975341797, 'se': 7.987436294555664, 'roku': 15.733115196228027, '1992,': 14.178128242492676, 'ale': 5.817060470581055, 'v': 3.886195182800293, 'platnost': 18.834359169006348, 'vesla': 17.383522033691406, 'roce': 14.081130981445312, '2002.': 9.392033576965332}",в силу,"{'в': 0.0, 'силу': 8.00175952911377}","его подписали в 1992 году, но в силу он вступил в 2002.","{'его': 0.0, 'подписали': 11.547974586486816, 'в': 2.5408573150634766, '1992': 6.0398101806640625, 'году,': 1.5292959213256836, 'но': 2.215682029724121, 'силу': 3.1672754287719727, 'он': 5.1952972412109375, 'вступил': 1.403097152709961, '2002.': 6.538909912109375}",в платном,"{'в': 0.0, 'платном': 12.8834867477417}","его подписали в 1992 году, но в платном он вступил в 2002.","{'его': 0.0, 'подписали': 11.547974586486816, 'в': 1.940110206604004, '1992': 6.0398101806640625, 'году,': 1.5292959213256836, 'но': 2.215682029724121, 'платном': 13.097416877746582, 'он': 5.007096290588379, 'вступил': 7.670664310455322, '2002.': 6.498125076293945}"
nedaleko,{'nedaleko': 18.9992733001709},"nejdřív ty nové drželi v karanténě v prvním patře, pak je přepravili do cel nedaleko mé místnosti.","{'nejdriv': 19.68686294555664, 'ty': 11.296001434326172, 'nove': 14.601404190063477, 'drzeli': 20.42296314239502, 'v': 4.896951675415039, 'karantene': 22.293087005615234, 'prvnim': 18.482365608215332, 'patre,': 15.493964195251465, 'pak': 8.102509498596191, 'je': 6.295562744140625, 'prepravili': 19.754605293273926, 'do': 4.554619789123535, 'cel': 6.721128463745117, 'nedaleko': 24.342266082763672, 'me': 9.608004570007324, 'mistnosti.': 26.29358673095703}",недалеко от,"{'недалеко': 7.026474952697754, 'от': 0.30319881439208984}","их подержали сначала в карантине, на другом этаже, а потом отправили в камеры недалеко от моих владений.","{'их': 0.0, 'подержали': 17.15268898010254, 'сначала': 7.275814533233643, 'в': 1.1320362091064453, 'карантине,': 5.5034637451171875, 'на': 5.835329055786133, 'другом': 6.958160400390625, 'этаже,': 3.7587833404541016, 'а': 1.3037357330322266, 'потом': 0.38596343994140625, 'отправили': 2.8739118576049805, 'камеры': 7.591823577880859, 'недалеко': 8.412399291992188, 'от': 0.09505271911621094, 'моих': 6.351491928100586, 'владений.': 6.885761260986328}",не вдалеке,"{'не': 0.0, 'вдалеке': 13.465700149536133}","их подержали сначала в карантине, на другом этаже, а потом отправили в камеры не вдалеке моих владений.","{'их': 0.0, 'подержали': 17.15268898010254, 'сначала': 7.275814533233643, 'в': 1.1320362091064453, 'карантине,': 5.5034637451171875, 'на': 5.835329055786133, 'другом': 6.958160400390625, 'этаже,': 3.7587833404541016, 'а': 1.3037357330322266, 'потом': 0.38596343994140625, 'отправили': 2.8739118576049805, 'камеры': 7.591823577880859, 'не': 7.136050224304199, 'вдалеке': 9.41530704498291, 'моих': 13.398483276367188, 'владений.': 5.090019226074219}"
na útraty,"{'na': 0.0, 'utraty': 25.60494613647461}","na útraty vojenského eráru, to se rozumí.","{'na': 0.0, 'utraty': 25.604939460754395, 'vojenskeho': 22.333889961242676, 'eraru,': 22.60445499420166, 'to': 5.339272499084473, 'se': 5.7600860595703125, 'rozumi.': 17.99988555908203}",за счет,"{'за': 0.0, 'счет': 9.211057662963867}","разумеется, за счет воинской казны?","{'разумеется,': 4.692574501037598, 'за': 5.221098899841309, 'счет': 2.3842573165893555, 'воинской': 10.778646469116211, 'казны?': 12.38085651397705}",на траты,"{'на': 0.0, 'траты': 15.663908004760742}","разумеется, на траты воинской казны?","{'разумеется,': 4.692574501037598, 'на': 4.519705772399902, 'траты': 14.967191696166992, 'воинской': 11.659098625183105, 'казны?': 8.408958435058594}"
po skončení,"{'po': 0.0, 'skonceni': 27.76632308959961}","po skončení práce četla, co za den napsali, á viděla, jak se chmuří, pozorně naslouchaje.","{'po': 0.0, 'skonceni': 27.76632595062256, 'prace': 13.569911003112793, 'cetla,': 21.784098625183105, 'co': 6.279047012329102, 'za': 5.531606674194336, 'den': 8.257862091064453, 'napsali,': 19.490036964416504, 'a': 2.8891801834106445, 'videla,': 15.895225524902344, 'jak': 6.052738189697266, 'se': 4.622891426086426, 'chmuri,': 21.175369262695312, 'pozorne': 19.239901542663574, 'naslouchaje.': 31.372440338134766}",по окончании,"{'по': 0.0, 'окончании': 8.992029190063477}","по окончании работы она читала написанное за день и видела, как он хмурится, чутко вслушиваясь.","{'по': 0.0, 'окончании': 8.992029190063477, 'работы': 3.7331771850585938, 'она': 5.284036636352539, 'читала': 8.40727424621582, 'написанное': 5.739800453186035, 'за': 5.584039688110352, 'день': 4.728606224060059, 'и': 1.3374805450439453, 'видела,': 7.563126564025879, 'как': 2.1527652740478516, 'он': 3.4719743728637695, 'хмурится,': 7.494350433349609, 'чутко': 12.133167266845703, 'вслушиваясь.': 7.498313903808594}",после конца,"{'после': 0.0, 'конца': 6.678252220153809}","после конца работы она читала написанное за день и видела, как он хмурится, чутко вслушиваясь.","{'после': 0.0, 'конца': 6.678250789642334, 'работы': 5.512966156005859, 'она': 5.582254409790039, 'читала': 7.899657249450684, 'написанное': 6.249664306640625, 'за': 5.697347640991211, 'день': 5.113864898681641, 'и': 1.633758544921875, 'видела,': 7.50311279296875, 'как': 1.9548625946044922, 'он': 3.149197578430176, 'хмурится,': 7.57160758972168, 'чутко': 12.125630378723145, 'вслушиваясь.': 7.027548789978027}"
s ohledem na,"{'s': 0.0, 'ohledem': 29.86953353881836, 'na': 8.502937316894531}","pokud by však nesouhlasili, musejí připustit, že o dětech rozhodují rodiče, ale nikoli podle své libosti, nýbrž jedině a výhradně s ohledem na jejich zájem.","{'pokud': 13.140429496765137, 'by': 9.057926177978516, 'vsak': 18.29345989227295, 'nesouhlasili,': 44.877296447753906, 'museji': 19.806391716003418, 'pripustit,': 22.88461208343506, 'ze': 6.055764198303223, 'o': 4.103335380554199, 'detech': 16.91638946533203, 'rozhoduji': 25.964933395385742, 'rodice,': 17.536422729492188, 'ale': 5.731239318847656, 'nikoli': 12.224564552307129, 'podle': 10.467089653015137, 'sve': 8.865030288696289, 'libosti,': 22.080345153808594, 'nybrz': 18.554566383361816, 'jedine': 13.8389253616333, 'a': 4.818530082702637, 'vyhradne': 24.553074836730957, 's': 3.3844375610351562, 'ohledem': 23.518773078918457, 'na': 4.958762168884277, 'jejich': 14.543999671936035, 'zajem.': 14.476386070251465}",с учетом,"{'с': 0.0, 'учетом': 8.678165435791016}","но если эти люди не согласятся, то им придется допустить, что судьбу детей решают родители, но не самовольно, а исключительно и только с учетом интересов детей.","{'но': 3.443653106689453, 'если': 7.639108657836914, 'эти': 6.992654800415039, 'люди': 3.0420475006103516, 'не': 2.4908485412597656, 'согласятся,': 9.131041049957275, 'то': 0.743351936340332, 'им': 4.335097312927246, 'придется': 1.3823308944702148, 'допустить,': 12.417922973632812, 'что': 0.1605243682861328, 'судьбу': 10.9605712890625, 'детей': 6.3896684646606445, 'решают': 3.3981504440307617, 'родители,': 5.174814224243164, 'самовольно,': 13.6961030960083, 'а': 0.7981719970703125, 'исключительно': 4.707859039306641, 'и': 6.096742630004883, 'только': 0.6283721923828125, 'с': 1.9823322296142578, 'учетом': 5.313769340515137, 'интересов': 2.189093589782715, 'детей.': 2.295145034790039}",с оглядкой на,"{'с': 0.0, 'оглядкой': 10.945552825927734, 'на': 0.960301399230957}","но если эти люди не согласятся, то им придется допустить, что судьбу детей решают родители, но не самовольно, а исключительно и только с оглядкой на интересов детей.","{'но': 3.443653106689453, 'если': 7.639108657836914, 'эти': 6.992654800415039, 'люди': 3.0420475006103516, 'не': 2.4908485412597656, 'согласятся,': 9.131041049957275, 'то': 0.743351936340332, 'им': 4.335097312927246, 'придется': 1.3823308944702148, 'допустить,': 12.417922973632812, 'что': 0.1605243682861328, 'судьбу': 10.9605712890625, 'детей': 6.3896684646606445, 'решают': 3.3981504440307617, 'родители,': 5.174814224243164, 'самовольно,': 13.6961030960083, 'а': 0.7981719970703125, 'исключительно': 4.707859039306641, 'и': 6.096742630004883, 'только': 0.6283721923828125, 'с': 1.9823322296142578, 'оглядкой': 8.950380325317383, 'на': 0.11311531066894531, 'интересов': 10.593347549438477, 'детей.': 3.788763999938965}"
